LIBID,stop_short_name,stop_full_name,stop_type,address_number,address_street_dir_prefix,address_street,address_street_suffix,address_street_dir_suffix,address_street_unit,address_city,address_state,address_zip,address_country,county,latitude,longitude,pluscode,current_delivery_sys,current_delivery_sys_code,service_time_mins,m_do,m_pu,t_do,t_pu,w_do,w_pu,r_do,r_pu,f_do,f_pu,s_do,s_pu,avg_pickup,avg_dropoff,volume_data_missing,redundant_address,address_verified_01,address_verified_02,geoloc_verified_01,ideal_regional_hub,starter_regional_hub,geo_coords,ideal_proposal_region,starter_proposal_region
WI0067,Cornell PL,Cornell Public Library,public_library,117,N,Third,St,,,Cornell,WI,54732,US,Chippewa,45.1681037,-91.1486181,,IFLS Library System,IFLS,7,,,,,1,1,,,1,1,,,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(45.1681037, -91.1486181)",ideal_region_01,starter_region_02
WI0072,Cumberland PL,Thomas St. Angelo Public Library,public_library,1305,,2nd,Ave,,,Cumberland,WI,54829,US,Barron,45.534004,-92.0219207,,IFLS Library System,IFLS,7,3,3,1,3,4,3,3,2,3,3,,,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(45.534004, -92.0219207)",ideal_region_01,starter_region_02
WI0076,Deer Park PL,Deer Park Public Library,public_library,112,,Front,St,W,,Deer Park,WI,54007,US,St. Croix,45.1878223,-92.3866165,,IFLS Library System,IFLS,7,2,1,,,1,2,,,2,1,,,2,2,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(45.1878223, -92.3866165)",ideal_region_01,starter_region_02
WI0382,Dresser PL,Geraldine E. Anderson Village Library,public_library,117,S,Central,Ave,,,Dresser,WI,54009,US,Polk,45.3548896,-92.6336074,,IFLS Library System,IFLS,7,2,2,1,2,,,3,2,,,,,2,2,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(45.3548896, -92.6336074)",ideal_region_01,starter_region_02
WI0086,Durand PL,Durand Community Library,public_library,604,,7th,Ave,E,,Durand,WI,54736,US,Pepin,44.629493,-91.9579265,,IFLS Library System,IFLS,7,,,1,1,,,1,1,,,,,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(44.629493, -91.9579265)",ideal_region_01,starter_region_02
WI0090,Eau Claire PL,L.E. Phillips Memorial Public Library,public_library,400,,Eau Claire,St,,,Eau Claire,WI,54701,US,Eau Claire,44.8130338,-91.49900579999999,,IFLS Library System,IFLS,7,27,50,22,32,33,31,24,40,23,18,,,35,26,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(44.8130338, -91.49900579999999)",ideal_region_01,starter_region_02
WI0094,Ellsworth PL,Ellsworth Public Library,public_library,312,W,Main,St,,,Ellsworth,WI,54011,US,Pierce,44.7323812,-92.482402,,IFLS Library System,IFLS,7,7,9,5,4,10,6,7,4,7,4,,,6,8,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(44.7323812, -92.482402)",ideal_region_01,starter_region_02
WI0096,Elmwood PL,Elmwood Public Library,public_library,111,N,Main,St,,,Elmwood,WI,54740,US,Pierce,44.7797901,-92.1517583,,IFLS Library System,IFLS,7,,,3,4,,,4,3,1,2,,,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(44.7797901, -92.1517583)",ideal_region_01,starter_region_02
WI0100,Fairchild PL,Fairchild Public Library,public_library,208,,Huron,St,,,Fairchild,WI,54741,US,Eau Claire,44.6001486,-90.9653598,,IFLS Library System,IFLS,7,,,,,,,,,1,1,,,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(44.6001486, -90.9653598)",ideal_region_01,starter_region_02
WI0101,Fall Creek PL,Fall Creek Public Library,public_library,122,E,Lincoln,Ave,,,Fall Creek,WI,54742,US,Eau Claire,44.7633005,-91.2762025,,IFLS Library System,IFLS,7,,,7,6,3,2,,,5,5,,,5,5,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(44.7633005, -91.2762025)",ideal_region_01,starter_region_02
WI0108,Frederic PL,Frederic Public Library,public_library,127,,Oak,St,W,,Frederic,WI,54837,US,Polk,45.658998,-92.46727539999999,,IFLS Library System,IFLS,7,2,2,3,3,,,6,3,4,2,,,3,4,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(45.658998, -92.46727539999999)",ideal_region_01,starter_region_02
WI0117,Glenwood City PL,Glenwood City Public Library,public_library,127,,Pine,St,,,Glenwood City,WI,54013,US,St. Croix,45.0575013,-92.1712477,,IFLS Library System,IFLS,7,,,2,3,4,2,,,3,3,,,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(45.0575013, -92.1712477)",ideal_region_01,starter_region_02
WI0127,Hammond PL,Hammond Community Library,public_library,850,,Davis,St,,,Hammond,WI,54015,US,St. Croix,44.977274,-92.4357721,,IFLS Library System,IFLS,7,,,10,11,,,16,10,5,11,,,11,11,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(44.977274, -92.4357721)",ideal_region_01,starter_region_02
WI0387,Hawkins PL,Hawkins Area Library,public_library,709,,Main,St,,,Hawkins,WI,54530,US,Rusk,45.5126378,-90.71492219999999,,IFLS Library System,IFLS,7,,,2,1,,,,,,,,,1,2,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(45.5126378, -90.71492219999999)",ideal_region_01,starter_region_02
WI0137,Hudson PL,Hudson Area Joint Library,public_library,700,,1st,St,,,Hudson,WI,54016,US,St. Croix,44.977357,-92.7582302,,IFLS Library System,IFLS,7,18,17,14,19,20,14,17,10,16,14,,,15,17,FALSE,FALSE,TRUE,TRUE,TRUE,,,"(44.977357, -92.7582302)",ideal_region_01,starter_region_02
